atm_iv_standard_deviation,count,coverage,market_regime,mean_atm_iv,median_absolute_atm_iv_change,median_atm_iv,median_atm_iv_spread,median_relative_instability,p90_absolute_atm_iv_change,p95_absolute_atm_iv_change,target_tenor
0.035606793819776585,22,0.029023746701846966,extreme,0.355843968197532,0.019923067102451508,0.3518000498308125,0.0105459137608937,0.06432765680194763,0.07965676089306878,0.08273014080657998,150
0.13945660374294566,48,0.0633245382585752,extreme,0.4578000587170379,0.040090001200981135,0.3833238346874438,0.006085433305170668,0.09320427524726208,0.12297056590134,0.1960321373571111,21
0.11633545922886394,45,0.059366754617414245,extreme,0.4317091222002004,0.03626748621303055,0.38437320586116686,0.003917929746735105,0.08856144557994967,0.0960846970945893,0.15489219334741308,45
0.08550818913838855,34,0.044854881266490766,extreme,0.414700079036655,0.035774407862130736,0.3922543119596885,0.0038446127824636744,0.08710615319792403,0.09544941057877666,0.10179476679929818,90
0.015390105195953739,117,0.15435356200527706,high,0.2725691067242633,0.01162917066801955,0.26700933907889984,0.005130295433291798,0.04169803829689483,0.02965153704808096,0.03590655486455433,150
0.016000161043311447,111,0.14643799472295516,high,0.27773319219804277,0.01823147500351535,0.2750801628473756,0.0018527804730339992,0.06544736062274951,0.045679753483354624,0.0567799942566128,21
0.015450771720743354,108,0.1424802110817942,high,0.27538676896541225,0.013936343109925475,0.2722689007509478,0.0015520630362412524,0.05232385086725248,0.034501324858475055,0.044154738421654204,45
0.014865302198803963,110,0.14511873350923482,high,0.27288517623498487,0.013458840586330179,0.2694642386417999,0.0017588716952474381,0.04805502863953712,0.031387671784312676,0.040619147241273,90
0.020049134433309364,308,0.40633245382585753,low,0.17431974354682764,0.005363806675656141,0.17367442295891436,0.0018135177883297354,0.030001342514547,0.014612996438127204,0.019442634362781486,150
0.03196147494311541,439,0.579155672823219,low,0.15224137340107283,0.008799048651113722,0.15445072550662034,0.0012363638457722481,0.05809292034443402,0.027124284955742817,0.0340374533496156,21
0.02762199909531009,403,0.5316622691292876,low,0.16098957698458177,0.008512726770826998,0.16097899656384565,0.0011759115714883028,0.05052381486250164,0.020331778800894287,0.024950267653928944,45
0.02427696349539074,337,0.4445910290237467,low,0.1685348134759266,0.006160341941472358,0.16546105800277752,0.0009399062534090619,0.03691394259398843,0.016639918139984305,0.020107077207065414,90
0.013891064841912739,294,0.38786279683377306,medium,0.23036630314697723,0.00803578162027356,0.23110061883854915,0.0029742043910642307,0.03537619114283139,0.022916440494429615,0.028602498272770435,150
0.013121409526027479,160,0.21108179419525067,medium,0.23143865338715522,0.012669873459806455,0.23173166247196553,0.0017130035966961554,0.05471349443659621,0.039115546219443936,0.05128566411067509,21
0.01411136524297881,196,0.25857519788918204,medium,0.23096067146693974,0.010420995915796996,0.23143782082285352,0.001382605823584751,0.04384286996815594,0.029701616804462913,0.03690491271317684,45
0.013390723538977307,241,0.3179419525065963,medium,0.23009940980450574,0.007517088383692833,0.2304104445829925,0.0011688345843729187,0.032805875830076256,0.021084275189880458,0.02611884773171208,90
