coefficient,confidence_interval_high,confidence_interval_low,model,observation_count,p_value,r_squared,standard_error,t_statistic,term
-0.009259056480288219,-0.006448193004608787,-0.01206991995596765,quote_uncertainty_next_day_hac,2927,1.073847672744207e-10,0.25193721630358157,0.0014341403708696507,-6.456171702825438,C(target_tenor)[T.150]
-0.003337198599784219,-0.0005463177659931701,-0.0061280794335752675,quote_uncertainty_next_day_hac,2927,0.01909716047216893,0.25193721630358157,0.0014239449580732916,-2.3436289309242038,C(target_tenor)[T.45]
-0.006127268374650078,-0.0036554178943111475,-0.00859911885498901,quote_uncertainty_next_day_hac,2927,1.1834130239791668e-06,0.25193721630358157,0.0012611713785745922,-4.858394726318061,C(target_tenor)[T.90]
0.008354685746336904,0.01072975110263684,0.0059796203900369695,quote_uncertainty_next_day_hac,2927,5.4055375699458326e-12,0.25193721630358157,0.001211790305859775,6.894497922566882,Intercept
0.4633608466923223,0.7147655766322508,0.2119561167523938,quote_uncertainty_next_day_hac,2927,0.00030339415292788836,0.25193721630358157,0.12827007634985998,3.6123845863199886,absolute_underlying_return
0.5974430806084592,0.9157324904628117,0.2791536707541067,quote_uncertainty_next_day_hac,2927,0.00023420743328746266,0.25193721630358157,0.16239554010429721,3.6789377357577444,atm_iv_spread
0.015674546475313224,0.023756409015408687,0.007592683935217762,quote_uncertainty_next_day_hac,2927,0.00014394159438424822,0.25193721630358157,0.00412347502497197,3.8012953589842033,past_realized_volatility
-0.01925329012726021,-0.005041826607069661,-0.03346475364745076,spy_contemporaneous_hac,2931,0.007923697667195945,0.523463438355986,0.007250879930595031,-2.655303950906855,C(target_tenor)[T.150]
-0.007356121595737528,-0.0017531990733798096,-0.012959044118095247,spy_contemporaneous_hac,2931,0.01007477277555734,0.523463438355986,0.0028586864690131335,-2.5732523225175457,C(target_tenor)[T.45]
-0.014202914929383515,-0.0036377124289969486,-0.02476811742977008,spy_contemporaneous_hac,2931,0.008418672652815064,0.523463438355986,0.005390508490831228,-2.6348005857965724,C(target_tenor)[T.90]
-0.01011896517974584,0.011982133749670422,-0.0322200641091621,spy_contemporaneous_hac,2931,0.36952286282100966,0.523463438355986,0.01127627808661124,-0.8973674737376758,Intercept
1.0230792656503953,1.2780220930457724,0.7681364382550182,spy_contemporaneous_hac,2931,3.682520994595722e-15,0.523463438355986,0.13007526128354074,7.8652870311770195,absolute_underlying_return
0.2860715000409978,0.5007460857166205,0.0713969143653751,spy_contemporaneous_hac,2931,0.009006354727593443,0.523463438355986,0.10952986247142725,2.611812829725998,atm_iv_spread
0.00204539809783762,0.0043267743592802724,-0.00023597816360503314,spy_contemporaneous_hac,2931,0.07887833008200021,0.523463438355986,0.0011639888688964992,1.7572316647466968,high_vol_regime
0.005530125633838415,0.01266453858670519,-0.0016042873190283613,spy_contemporaneous_hac,2931,0.12870345274552286,0.523463438355986,0.0036400734958101865,1.5192346089175741,log_dte
-0.0024234405997263656,0.006102866631146322,-0.010949747830599054,spy_contemporaneous_hac,2931,0.5774710839038995,0.523463438355986,0.004350236687065227,-0.557082470232505,past_realized_volatility
