underlying_symbol,quote_date,valuation_timestamp,underlying_price,expiration,vendor_dte,time_to_maturity,strike,option_type,bid,ask,last,volume,open_interest,vendor_iv,vendor_delta,vendor_gamma,vendor_vega,vendor_theta,vendor_rho,source_file,source_row
SPY,2012-12-31,2012-12-31T16:00:00-05:00,142.22,2013-01-11,11.0,0.030136986301369864,120.0,call,22.34,22.54,0.0,,,0.53382,0.9647,0.00568,0.02051,-0.04253,0.03737,spy_options_2012.parquet,887723
SPY,2012-12-31,2012-12-31T16:00:00-05:00,142.22,2013-01-11,11.0,0.030136986301369864,120.0,put,0.01,0.03,0.03,120,,0.38071,-0.00664,0.0018,0.00482,-0.00684,0.0,spy_options_2012.parquet,887723
SPY,2012-12-31,2012-12-31T16:00:00-05:00,142.22,2013-01-11,11.0,0.030136986301369864,121.0,call,21.36,21.57,0.0,,,0.52382,0.96013,0.00636,0.02201,-0.04661,0.03746,spy_options_2012.parquet,887724
SPY,2012-12-31,2012-12-31T16:00:00-05:00,142.22,2013-01-11,11.0,0.030136986301369864,121.0,put,0.02,0.04,0.0,,,0.38234,-0.00907,0.0025,0.00672,-0.00917,-0.0005,spy_options_2012.parquet,887724
SPY,2012-12-31,2012-12-31T16:00:00-05:00,142.22,2013-01-11,11.0,0.030136986301369864,122.0,call,20.34,20.55,0.0,,,0.49506,0.96022,0.0067,0.02242,-0.04309,0.03769,spy_options_2012.parquet,887725
SPY,2012-12-31,2012-12-31T16:00:00-05:00,142.22,2013-01-11,11.0,0.030136986301369864,122.0,put,0.03,0.04,0.09,30,,0.3792,-0.01144,0.0031,0.00821,-0.0111,-0.00095,spy_options_2012.parquet,887725
SPY,2012-12-31,2012-12-31T16:00:00-05:00,142.22,2013-01-11,11.0,0.030136986301369864,123.0,call,19.35,19.56,0.0,,,0.47549,0.95794,0.00734,0.02306,-0.0435,0.03873,spy_options_2012.parquet,887726
SPY,2012-12-31,2012-12-31T16:00:00-05:00,142.22,2013-01-11,11.0,0.030136986301369864,123.0,put,0.03,0.06,0.0,,,0.36707,-0.01385,0.00361,0.00923,-0.01274,-0.00078,spy_options_2012.parquet,887726
SPY,2012-12-31,2012-12-31T16:00:00-05:00,142.22,2013-01-11,11.0,0.030136986301369864,124.0,call,18.38,18.56,0.0,,,0.45996,0.95442,0.00805,0.02467,-0.04526,0.03855,spy_options_2012.parquet,887727
SPY,2012-12-31,2012-12-31T16:00:00-05:00,142.22,2013-01-11,11.0,0.030136986301369864,124.0,put,0.03,0.06,0.0,,,0.35448,-0.0148,0.00418,0.01016,-0.01348,-0.00022,spy_options_2012.parquet,887727
SPY,2012-12-31,2012-12-31T16:00:00-05:00,142.22,2013-01-11,11.0,0.030136986301369864,125.0,call,17.36,17.57,0.0,,,0.43534,0.95263,0.0087,0.02496,-0.0447,0.03851,spy_options_2012.parquet,887728
SPY,2012-12-31,2012-12-31T16:00:00-05:00,142.22,2013-01-11,11.0,0.030136986301369864,125.0,put,0.05,0.07,0.06,10,,0.34576,-0.01831,0.005,0.01193,-0.01526,-0.0013,spy_options_2012.parquet,887728
