underlying_symbol,quote_date,valuation_timestamp,underlying_price,expiration,vendor_dte,time_to_maturity,strike,option_type,bid,ask,last,volume,open_interest,vendor_iv,vendor_delta,vendor_gamma,vendor_vega,vendor_theta,vendor_rho,source_file,source_row
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,100.0,call,19.82,19.94,19.65,15,,0.33061,0.93493,0.00329,0.04385,-0.01794,0.02652,spy_options_2010.parquet,65827
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,100.0,put,0.11,0.12,0.1,804,,0.28687,-0.02547,0.00527,0.02437,-0.00876,-0.0037,spy_options_2010.parquet,65827
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,101.0,call,18.84,18.95,17.89,0,,0.31434,0.93492,0.00393,0.04449,-0.01691,0.02883,spy_options_2010.parquet,65828
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,101.0,put,0.12,0.13,0.12,,,0.27727,-0.02897,0.006,0.02623,-0.00895,-0.00397,spy_options_2010.parquet,65828
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,102.0,call,17.85,17.97,15.97,0,,0.30175,0.93365,0.00482,0.04614,-0.01653,0.03334,spy_options_2010.parquet,65829
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,102.0,put,0.14,0.15,0.14,479,,0.27009,-0.0329,0.00697,0.0291,-0.00981,-0.00437,spy_options_2010.parquet,65829
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,103.0,call,16.87,16.99,16.9,2,,0.28787,0.9333,0.00576,0.04678,-0.01626,0.03684,spy_options_2010.parquet,65830
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,103.0,put,0.16,0.18,0.17,60,,0.2631,-0.03809,0.00793,0.0334,-0.01062,-0.00551,spy_options_2010.parquet,65830
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,104.0,call,15.88,16.01,16.1,500,,0.27473,0.93087,0.00704,0.04913,-0.01582,0.04124,spy_options_2010.parquet,65831
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,104.0,put,0.18,0.19,0.18,354,,0.25499,-0.04394,0.00916,0.03705,-0.01151,-0.0058,spy_options_2010.parquet,65831
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,105.0,call,14.93,15.02,15.2,12,,0.26243,0.92875,0.00838,0.0511,-0.01576,0.04536,spy_options_2010.parquet,65832
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,105.0,put,0.2,0.21,0.21,593,,0.24524,-0.04875,0.01044,0.04065,-0.01233,-0.00652,spy_options_2010.parquet,65832
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,106.0,call,13.95,14.04,13.97,3,,0.25219,0.92355,0.01015,0.05381,-0.0162,0.05051,spy_options_2010.parquet,65833
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,106.0,put,0.24,0.24,0.23,,,0.23805,-0.05619,0.01203,0.04492,-0.01336,-0.00776,spy_options_2010.parquet,65833
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,107.0,call,12.99,13.08,12.1,0,,0.24201,0.91747,0.01226,0.05803,-0.01644,0.05596,spy_options_2010.parquet,65834
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,107.0,put,0.26,0.29,0.25,,,0.23066,-0.06527,0.01393,0.05061,-0.01501,-0.0093,spy_options_2010.parquet,65834
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,108.0,call,12.04,12.11,12.11,2,,0.23155,0.91043,0.01457,0.06167,-0.01738,0.06113,spy_options_2010.parquet,65835
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,108.0,put,0.31,0.32,0.31,,,0.22258,-0.07541,0.01613,0.05724,-0.01557,-0.01034,spy_options_2010.parquet,65835
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,109.0,call,11.08,11.15,11.07,21,,0.2224,0.90095,0.01744,0.06814,-0.01855,0.06588,spy_options_2010.parquet,65836
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,109.0,put,0.35,0.35,0.35,,,0.21463,-0.08744,0.01866,0.0639,-0.01688,-0.01213,spy_options_2010.parquet,65836
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,110.0,call,10.13,10.2,10.29,52,,0.21291,0.8885,0.02064,0.07427,-0.01912,0.0706,spy_options_2010.parquet,65837
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,110.0,put,0.4,0.42,0.41,,,0.20815,-0.10278,0.02173,0.07083,-0.0189,-0.01437,spy_options_2010.parquet,65837
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,111.0,call,9.22,9.27,9.14,137,,0.20535,0.87204,0.02425,0.08262,-0.02033,0.07534,spy_options_2010.parquet,65838
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,111.0,put,0.48,0.49,0.48,384,,0.20023,-0.12054,0.02522,0.07948,-0.01961,-0.01607,spy_options_2010.parquet,65838
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,112.0,call,8.31,8.35,8.23,138,,0.19779,0.85227,0.02853,0.09101,-0.02133,0.07841,spy_options_2010.parquet,65839
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,112.0,put,0.56,0.57,0.56,,,0.19313,-0.14076,0.02928,0.08869,-0.02129,-0.01936,spy_options_2010.parquet,65839
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,113.0,call,7.42,7.45,7.43,456,,0.18952,0.82776,0.03324,0.10027,-0.02332,0.08074,spy_options_2010.parquet,65840
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,113.0,put,0.66,0.68,0.67,,,0.1863,-0.1664,0.0338,0.09898,-0.02358,-0.0227,spy_options_2010.parquet,65840
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,114.0,call,6.52,6.57,6.47,712,,0.18245,0.79943,0.03845,0.11125,-0.02441,0.08196,spy_options_2010.parquet,65841
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,114.0,put,0.8,0.8,0.81,,,0.1798,-0.19746,0.03889,0.11045,-0.02513,-0.02692,spy_options_2010.parquet,65841
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,115.0,call,5.7,5.72,5.72,,,0.17537,0.76445,0.04403,0.12238,-0.02598,0.08211,spy_options_2010.parquet,65842
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,115.0,put,0.94,0.95,0.95,,,0.17261,-0.23178,0.04451,0.1211,-0.02654,-0.03112,spy_options_2010.parquet,65842
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,116.0,call,4.88,4.91,4.9,,,0.16895,0.7236,0.04998,0.13232,-0.0269,0.0807,spy_options_2010.parquet,65843
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,116.0,put,1.14,1.14,1.13,,,0.16618,-0.27422,0.05048,0.13186,-0.02782,-0.03692,spy_options_2010.parquet,65843
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,117.0,call,4.11,4.13,4.13,,,0.16254,0.67574,0.056,0.14285,-0.02837,0.07723,spy_options_2010.parquet,65844
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,117.0,put,1.37,1.38,1.37,,,0.16054,-0.32245,0.05648,0.14242,-0.02879,-0.04355,spy_options_2010.parquet,65844
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,118.0,call,3.39,3.42,3.41,,,0.15633,0.62036,0.0615,0.15069,-0.02892,0.07346,spy_options_2010.parquet,65845
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,118.0,put,1.64,1.65,1.64,,,0.15374,-0.37806,0.06246,0.15097,-0.02977,-0.05152,spy_options_2010.parquet,65845
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,119.0,call,2.72,2.75,2.74,,,0.15001,0.55871,0.06645,0.15615,-0.02933,0.06765,spy_options_2010.parquet,65846
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,119.0,put,1.99,2.0,2.0,,,0.14815,-0.44131,0.06719,0.15603,-0.02944,-0.06037,spy_options_2010.parquet,65846
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,120.0,call,2.13,2.15,2.13,,,0.14382,0.49037,0.06974,0.15785,-0.02842,0.06049,spy_options_2010.parquet,65847
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,120.0,put,2.39,2.41,2.39,,,0.14281,-0.51063,0.07044,0.15755,-0.02932,-0.06941,spy_options_2010.parquet,65847
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,121.0,call,1.62,1.63,1.64,,,0.13951,0.41719,0.07083,0.15471,-0.02638,0.05159,spy_options_2010.parquet,65848
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,121.0,put,2.87,2.88,2.87,,,0.13718,-0.5833,0.07171,0.15461,-0.02685,-0.07914,spy_options_2010.parquet,65848
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,122.0,call,1.2,1.2,1.18,,,0.13432,0.34432,0.06905,0.14544,-0.02442,0.04292,spy_options_2010.parquet,65849
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,122.0,put,3.43,3.45,3.44,,,0.13161,-0.65858,0.07011,0.14519,-0.02467,-0.0899,spy_options_2010.parquet,65849
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,123.0,call,0.84,0.85,0.83,,,0.13027,0.27293,0.06427,0.13231,-0.02145,0.03456,spy_options_2010.parquet,65850
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,123.0,put,4.06,4.12,4.1,,,0.12747,-0.73272,0.0652,0.13079,-0.02194,-0.10002,spy_options_2010.parquet,65850
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,124.0,call,0.57,0.58,0.58,,,0.12659,0.20724,0.05688,0.11316,-0.01748,0.02607,spy_options_2010.parquet,65851
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,124.0,put,4.79,4.84,4.83,401,,0.12351,-0.79963,0.05738,0.11104,-0.01783,-0.11038,spy_options_2010.parquet,65851
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,125.0,call,0.37,0.38,0.37,825,,0.12347,0.14993,0.04769,0.09304,-0.01383,0.01941,spy_options_2010.parquet,65852
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,125.0,put,5.59,5.66,5.68,,,0.12067,-0.85666,0.04747,0.09043,-0.01424,-0.11806,spy_options_2010.parquet,65852
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,126.0,call,0.22,0.24,0.24,,,0.12076,0.10251,0.03763,0.07122,-0.01016,0.01368,spy_options_2010.parquet,65853
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,126.0,put,6.45,6.54,6.88,1,,0.11695,-0.90289,0.03691,0.06822,-0.01076,-0.12527,spy_options_2010.parquet,65853
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,127.0,call,0.14,0.15,0.15,463,,0.11946,0.07049,0.02849,0.05352,-0.00835,0.00938,spy_options_2010.parquet,65854
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,127.0,put,7.35,7.41,7.31,3,,0.10967,-0.9458,0.02527,0.04417,-0.00689,-0.13212,spy_options_2010.parquet,65854
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,128.0,call,0.08,0.1,0.08,,,0.11881,0.04664,0.0207,0.03901,-0.00601,0.00596,spy_options_2010.parquet,65855
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,128.0,put,8.28,8.41,8.24,1,,0.11032,-0.96545,0.01748,0.03097,-0.0049,-0.13569,spy_options_2010.parquet,65855
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,129.0,call,0.05,0.06,0.06,161,,0.11925,0.03027,0.01459,0.02786,-0.00403,0.00361,spy_options_2010.parquet,65856
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,129.0,put,9.22,9.45,10.91,0,,0.12081,-0.96755,0.01498,0.0292,-0.0054,-0.13721,spy_options_2010.parquet,65856
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,130.0,call,0.02,0.05,0.05,,,0.12034,0.02054,0.01017,0.01986,-0.00238,0.00266,spy_options_2010.parquet,65857
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,130.0,put,10.21,10.35,10.35,1,,0.00064,-1.0,0.0,0.41639,0.0,0.0,spy_options_2010.parquet,65857
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,131.0,call,0.01,0.03,0.02,45,,0.11982,0.01261,0.00671,0.0124,-0.00171,0.0016,spy_options_2010.parquet,65858
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,131.0,put,11.2,11.34,11.05,1,,-0.00019,-1.0,0.0,0.41604,0.0,0.0,spy_options_2010.parquet,65858
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,132.0,call,0.0,0.03,0.02,19,,0.12406,0.00944,0.00496,0.0094,-0.00149,0.00127,spy_options_2010.parquet,65859
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,132.0,put,12.19,12.4,0.0,,,0.12212,-0.99103,0.00472,0.00958,-0.00193,-0.14327,spy_options_2010.parquet,65859
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,133.0,call,0.0,0.02,0.02,32,,0.12662,0.00646,0.00352,0.00711,-0.00088,0.00049,spy_options_2010.parquet,65860
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,133.0,put,13.19,13.4,0.0,,,0.13065,-0.99223,0.00417,0.00829,-0.00256,-0.14471,spy_options_2010.parquet,65860
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,134.0,call,0.0,0.02,0.02,0,,0.13351,0.00591,0.00309,0.0064,-0.00067,0.00058,spy_options_2010.parquet,65861
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,134.0,put,14.19,14.4,0.0,,,0.13849,-0.99239,0.00379,0.00785,-0.00243,-0.14596,spy_options_2010.parquet,65861
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,135.0,call,0.0,0.02,0.01,0,,0.1422,0.00606,0.00289,0.00628,-0.0012,0.00045,spy_options_2010.parquet,65862
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,135.0,put,15.2,15.41,17.6,0,,0.15755,-0.98842,0.00472,0.01219,-0.0032,-0.14674,spy_options_2010.parquet,65862
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,136.0,call,0.0,0.02,0.03,0,,0.14936,0.00562,0.00258,0.00658,-0.00144,0.00086,spy_options_2010.parquet,65863
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,136.0,put,16.19,16.43,0.0,,,0.16539,-0.98943,0.00426,0.01151,-0.00284,-0.14767,spy_options_2010.parquet,65863
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,137.0,call,0.0,0.01,0.02,0,,0.15676,0.00479,0.00233,0.00545,-0.0014,0.00095,spy_options_2010.parquet,65864
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,137.0,put,17.2,17.42,0.0,,,0.1731,-0.98922,0.00399,0.01062,-0.00366,-0.14898,spy_options_2010.parquet,65864
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,138.0,call,0.0,0.02,0.0,,,0.16541,0.00524,0.00218,0.00614,-0.00121,0.00102,spy_options_2010.parquet,65865
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,138.0,put,18.19,18.42,21.66,0,,0.18108,-0.99038,0.00364,0.01067,-0.00315,-0.15029,spy_options_2010.parquet,65865
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,139.0,call,0.0,0.01,0.03,0,,0.1726,0.00475,0.00205,0.00516,-0.00161,0.00074,spy_options_2010.parquet,65866
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,139.0,put,19.2,19.42,0.0,,,0.18937,-0.98985,0.00333,0.01051,-0.00285,-0.15109,spy_options_2010.parquet,65866
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,140.0,call,0.0,0.02,0.0,,,0.17975,0.00493,0.00188,0.0058,-0.00121,0.00019,spy_options_2010.parquet,65867
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,140.0,put,20.19,20.42,0.0,,,0.1972,-0.99005,0.00314,0.01001,-0.00343,-0.15179,spy_options_2010.parquet,65867
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,141.0,call,0.0,0.02,0.0,,,0.18646,0.00445,0.00181,0.00566,-0.00079,0.00072,spy_options_2010.parquet,65868
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,141.0,put,21.2,21.41,0.0,,,0.20503,-0.9911,0.00295,0.00995,-0.00371,-0.1534,spy_options_2010.parquet,65868
SPY,2010-04-12,2010-04-12T16:00:00-04:00,119.76,2010-05-21,39.0,0.10684931506849316,142.0,call,0.0,0.02,0.0,,,0.19347,0.00461,0.00167,0.00468,-0.00082,0.00037,spy_options_2010.parquet,65869
