atm_iv_standard_deviation,count,coverage,market_regime,mean_atm_iv,median_absolute_atm_iv_change,median_atm_iv,median_atm_iv_spread,median_relative_instability,p90_absolute_atm_iv_change,p95_absolute_atm_iv_change,target_tenor
0.033894755035512814,132,0.037714285714285714,extreme,0.30756828224764227,0.01381835135181364,0.29854173519425853,0.004145303996663963,0.04513347229770061,0.03980160779762154,0.0503809596971197,150
0.1014165332629446,179,0.05114285714285714,extreme,0.34965962809403867,0.02820063911358739,0.3117475001542267,0.003530715569298626,0.08046900230232226,0.08097108839457326,0.12613151743214435,21
0.084611178503142,177,0.05057142857142857,extreme,0.33479310372483617,0.022669397273723496,0.30066181640108264,0.0027802605668394986,0.07226363082327307,0.06503687302070804,0.09158638641328254,45
0.0682951252699823,153,0.04371428571428571,extreme,0.32562477999165845,0.01733909818656712,0.2994313035670476,0.0032399946090814202,0.055975727626728006,0.04627762534598433,0.058654374007631266,90
0.01868152882953279,612,0.17485714285714285,high,0.23605440024127652,0.006110309666771466,0.23356075500589024,0.00293679504652658,0.02606508953626212,0.01887555572409343,0.022388916372869105,150
0.01846746436505253,364,0.104,high,0.23635555127949975,0.013966785685174926,0.23490727021379204,0.0020365867660166737,0.06074948044377014,0.04587418424339858,0.05279839200458626,21
0.01855632352442096,431,0.12314285714285714,high,0.2355965767918551,0.011639914204514101,0.23397501102036752,0.0018028544399826263,0.05019447575029083,0.033608968587381265,0.041442444170724714,45
0.018848992290903737,514,0.14685714285714285,high,0.23647776724406777,0.008000697810486068,0.23266090335730394,0.0019334259532823028,0.033960813833280645,0.022177386884900258,0.030089810739019195,90
0.011903787011325754,1076,0.30742857142857144,low,0.13532935658133657,0.002689165524009128,0.13733961528153232,0.0012138430571409786,0.019686387348138434,0.00821302996866766,0.010485130956746254,150
0.0218678080132715,1935,0.5528571428571428,low,0.11493696502869734,0.0069479536871012715,0.11580505109595435,0.0014853998289179882,0.06064479343190364,0.02124836627121028,0.026624381077921346,21
0.019567015080050053,1841,0.526,low,0.12187069976466579,0.006231338571111647,0.12318073585333734,0.0011948434105535088,0.053013488023564086,0.016805532270687377,0.020960012608818756,45
0.015383860930245165,1552,0.44342857142857145,low,0.12991700679161347,0.003644708138026087,0.13061447924232433,0.0008994526384392479,0.0278302198043922,0.010794646223610345,0.013741324443924063,90
0.014952321596093266,1104,0.31542857142857145,medium,0.17748030791283134,0.004432890188398514,0.1753743646435436,0.0019743140424007682,0.024914955952063216,0.012545442299491744,0.015716166766168736,150
0.015359547275246889,756,0.216,medium,0.17728633058873458,0.011506312226901572,0.17544870271623197,0.0016623531215511633,0.06436494686488392,0.033584740541630395,0.04431413080133591,21
0.014943898615307078,869,0.24828571428571428,medium,0.1769361758523655,0.008272350541261825,0.1758413522594132,0.0013789489249323439,0.046219155358572024,0.02424645931632445,0.03162401065168324,45
0.015096850036817428,1113,0.318,medium,0.17659918458536034,0.006164278230782999,0.17473350368517737,0.001554590456618682,0.03539416420250154,0.01696253325906127,0.02118439591187758,90
