atm_iv_standard_deviation,count,coverage,market_period,mean_atm_iv,median_absolute_atm_iv_change,median_atm_iv,median_atm_iv_spread,median_relative_instability,p90_absolute_atm_iv_change,p95_absolute_atm_iv_change,target_tenor
0.04178819815624975,558,0.15942857142857142,2010-2012,0.21535474448788916,0.0046560227800783865,0.20131880887935227,0.0022508571185377857,0.022525211130101544,0.015820715771803925,0.02178813046766661,150
0.06342952582237922,471,0.13457142857142856,2010-2012,0.19443020139766504,0.010397079346686988,0.17290095575300926,0.0019767954590108883,0.05856745523555649,0.038589244272404004,0.052301367395446226,21
0.05546398112520326,593,0.16942857142857143,2010-2012,0.19606779107697372,0.008384101858595186,0.1761566967001707,0.0015698388645363215,0.04367438229413237,0.02780276316458587,0.035043223926586056,45
0.04689776689248344,681,0.19457142857142856,2010-2012,0.20219275396031822,0.005680563779549716,0.1842984335631089,0.0020687594970180134,0.029369147460518434,0.01806403826558471,0.025718830617974302,90
0.021399822291550092,775,0.22142857142857142,2013-2016,0.15436516851838245,0.0031376471877491985,0.14894746534650838,0.0016913512748474024,0.020611182484706964,0.010895618727850193,0.0133419974043186,150
0.03546104500625639,1005,0.28714285714285714,2013-2016,0.1319971839351174,0.00863738056235075,0.12255314629447465,0.002000689257229238,0.06691516976956494,0.02564723785263481,0.03286288903875509,21
0.029606669872671767,967,0.2762857142857143,2013-2016,0.13707353208954615,0.007193692298448295,0.1298870810296921,0.0019256493748253112,0.0565129297975672,0.01978321773974331,0.026381424879918992,45
0.023952615589626094,951,0.27171428571428574,2013-2016,0.14612855293918156,0.0044807389373459905,0.13997933906134633,0.0013082232131794436,0.03153468777290648,0.013823366329213632,0.017685547827068743,90
0.022800077964929423,604,0.17257142857142857,2017-2019,0.13832304507805665,0.003365278150375628,0.13349700688457566,0.001138765804286332,0.024985322562722494,0.011226293616994388,0.014561244589108343,150
0.04306864502828666,750,0.21428571428571427,2017-2019,0.1157430926671151,0.007423774693242492,0.10345485417956087,0.001621218242936165,0.06789275399345869,0.027006083345710055,0.0349120470613443,21
0.03637131409234534,750,0.21428571428571427,2017-2019,0.12174098207581703,0.006599134842204639,0.11218690932201786,0.0012169671218182493,0.057398400730691745,0.02026568691933746,0.026109052767931587,45
0.029631308058683456,728,0.208,2017-2019,0.13180039124435558,0.004324069127601832,0.12505949876257133,0.0009148986720706534,0.03296554513534376,0.01346589148904842,0.018968124687539112,90
0.06222199305102771,241,0.06885714285714285,2020,0.24403272184647654,0.006238651850442797,0.24707059270178924,0.002759658537184073,0.027968825670777152,0.022923090100388028,0.034889921562624826,150
0.12826473650743092,250,0.07142857142857142,2020,0.24847405644691103,0.012611546988100575,0.22102397565699225,0.0018816133940189606,0.0593657875025,0.05051462501051668,0.08088207903249607,21
0.10863272782651502,250,0.07142857142857142,2020,0.2512089045206798,0.012154544913271184,0.2311119195063956,0.0016572447465299511,0.05431967854176359,0.047211016747769986,0.0651407234732939,45
0.09108933003155215,234,0.06685714285714285,2020,0.25321796767760857,0.00816481422008973,0.2410864333572421,0.0012584855812639156,0.03454296091807997,0.033695832690421694,0.05020056636724884,90
0.03727726010874455,746,0.21314285714285713,2021-2023,0.19364208525938115,0.004918035607611476,0.18831155490412316,0.0022265619695854832,0.025655880400605704,0.013432556363221396,0.01794368792137348,150
0.05407418805986778,758,0.21657142857142858,2021-2023,0.17400311217021927,0.008797103298891946,0.16447729748396256,0.001043697658979506,0.05486811981690834,0.02928888884293573,0.038783849758432,21
0.048257757710351075,758,0.21657142857142858,2021-2023,0.1794138927609125,0.007767408974752782,0.17272898930189862,0.0008743553128262027,0.04620344500474387,0.023149765347829126,0.028258845508115932,45
0.041761186702664856,738,0.21085714285714285,2021-2023,0.18657322782069796,0.005929672689534107,0.17949946250116122,0.0008949399398349434,0.032623420006830536,0.016050803531217826,0.020361738869455463,90
