atm_iv_standard_deviation,count,coverage,liquidity_quintile,mean_atm_iv,median_absolute_atm_iv_change,median_atm_iv,median_atm_iv_spread,median_relative_instability,p90_absolute_atm_iv_change,p95_absolute_atm_iv_change,target_tenor
0.040212497905246364,585,0.16714285714285715,1,0.1824735343931335,0.003865060219031935,0.17380412250537125,0.001353099743888253,0.02185401549294081,0.010290470392796123,0.014229097407926534,150
0.06779915584717962,647,0.18485714285714286,1,0.19294498352779293,0.009096584024130216,0.18048075160481625,0.0012701893875915748,0.05127083415471203,0.030200713424752723,0.03709593933130004,21
0.05536528694891808,664,0.18971428571428572,1,0.18717156485876119,0.007203242309766669,0.1821038053564613,0.000889212504144074,0.042148482903942616,0.020813393319792213,0.026274197932067124,45
0.044257313002210814,667,0.19057142857142856,1,0.18560871643374027,0.005307656962748097,0.17783392721402508,0.0008181537169140718,0.028447169510425526,0.013765863719111445,0.017589837383951264,90
0.04339545118380205,585,0.16714285714285715,2,0.16596567286227903,0.0037787840611959167,0.15157570792200795,0.0014023300163243657,0.023780966523772807,0.011350109413681822,0.013982542228918062,150
0.06388173532540224,647,0.18485714285714286,2,0.14867158774224654,0.009332650472756915,0.13027080018367004,0.001448027815639602,0.07228116968964411,0.029604520007109923,0.03968643629740937,21
0.06695550421912268,663,0.18942857142857142,2,0.1695988783272175,0.008662913676959205,0.15001092709754926,0.0013331280322948086,0.056112279614409635,0.026038991314481855,0.035634249417721996,45
0.055109522547104786,666,0.19028571428571428,2,0.163606780222803,0.005072007860676658,0.14603641401664286,0.0009627989679222709,0.033635559051111624,0.01720961580723811,0.023276588953937243,90
0.04152806305333266,584,0.16685714285714287,3,0.16360400894583407,0.0038975135923602078,0.15271130896260848,0.0016575375236157347,0.023755040944533828,0.011584596688669943,0.014861187266430643,150
0.0645639844805881,646,0.18457142857142858,3,0.1349478404912868,0.00846315607318849,0.11907591458761366,0.001916704025683072,0.06823040755936154,0.028205758368854944,0.03802927829962854,21
0.06732509903776164,664,0.18971428571428572,3,0.14575436956070356,0.008247798855632378,0.1261205222513408,0.0017041028617711187,0.0657390910901696,0.024877462970223595,0.033172235822196965,45
0.054402647905031166,666,0.19028571428571428,3,0.15610003247704732,0.004935037646521007,0.14165679217720556,0.0012043332613758811,0.03528399898906834,0.01655444976882653,0.02303337863594941,90
0.05063735802349585,585,0.16714285714285715,4,0.18941635363721854,0.004009880383182417,0.1803709377548509,0.0021643237207201182,0.021983150651488287,0.01388753109954731,0.019013366655123654,150
0.08144390607997237,647,0.18485714285714286,4,0.14440962930354226,0.008197236941537574,0.12136520665454592,0.0019027548995811105,0.06347268196625824,0.033816775238113946,0.04796520071387127,21
0.058248051257433486,663,0.18942857142857142,4,0.14778545483563774,0.006904851412094015,0.13493927121145433,0.0016466149885478731,0.051339666724943285,0.022542487663706312,0.033838950861136995,45
0.05611201123484534,666,0.19028571428571428,4,0.1735031008581539,0.005445904393758194,0.15722804515698624,0.0017683555625322839,0.03287728070614308,0.017448936843546474,0.02417886067605039,90
0.057062405412095,585,0.16714285714285715,5,0.199020016196714,0.005216119511873535,0.1860714032915997,0.00290857169297698,0.027899521124039314,0.020688875429026126,0.028002652336564987,150
0.0534617907438279,647,0.18485714285714286,5,0.15984347854977565,0.009335875598548676,0.15074656986793894,0.001748754009675585,0.05994292614847559,0.03066723337975641,0.04044360706199779,21
0.05580420937006661,664,0.18971428571428572,5,0.16179723749630012,0.006627810409447571,0.15120612911996545,0.0014147548724058046,0.042485604387454745,0.022551214449759445,0.029373120486046754,45
0.05870749837287838,667,0.19057142857142856,5,0.1758282374742566,0.004821946957240447,0.1645810412423974,0.001790030900814421,0.02925838209224272,0.016604692306156934,0.024185104332611986,90
