atm_iv_standard_deviation,count,coverage,market_period,mean_atm_iv,median_absolute_atm_iv_change,median_atm_iv,median_atm_iv_spread,median_relative_instability,p90_absolute_atm_iv_change,p95_absolute_atm_iv_change,target_tenor
0.04122840977677585,566,0.161345496009122,2010-2012,0.21051051261669237,0.004719443472690127,0.19636433561007277,,0.022553831750302167,0.016707981281731715,0.02212827841435604,150
0.0618489266607382,479,0.13654503990877992,2010-2012,0.18861837266221315,0.008701131002492146,0.16758154934398448,,0.05220329740330365,0.033352567665984365,0.04461316854725561,21
0.054545728051043574,601,0.17132269099201825,2010-2012,0.19207554642535993,0.006406592485007578,0.1725532274586454,,0.036887090365636754,0.026479634703924816,0.03693803592477013,45
0.045953292270823405,684,0.1949828962371722,2010-2012,0.1979774451852819,0.005508249074697602,0.18039186215188355,,0.02853459688045777,0.018901907605303782,0.024410754141356874,90
0.02124943787591299,775,0.2209236031927024,2013-2016,0.1492851369348114,0.0032355973703666052,0.14337429501539112,,0.02266210615894508,0.01044775886775659,0.012667123063708846,150
0.034717680695182516,1005,0.2864880273660205,2013-2016,0.12682978636674874,0.007192700678543301,0.11797649008279223,,0.06002091476098432,0.024334715587402835,0.031870013248009046,21
0.029271779887713605,967,0.27565564424173317,2013-2016,0.13310165590041326,0.005740911909966867,0.12594546306456222,,0.04537740879895221,0.01839353381467365,0.02498239469270724,45
0.02367496030239601,951,0.2710946408209806,2013-2016,0.1419322248675253,0.003973322886644731,0.13642015844246266,,0.02939120717340305,0.013776960632203544,0.018165280398803205,90
0.024193728964558663,604,0.17217787913340935,2017-2019,0.13621805830365719,0.005912386082814941,0.13242526808770788,,0.04436378038078524,0.019885188521711693,0.0262009146022626,150
0.04209608938192161,750,0.2137970353477765,2017-2019,0.1120331892716872,0.006333482302557009,0.10040273479168618,,0.06303259662740528,0.022651702632520067,0.03185614770876043,21
0.036294966195145884,750,0.2137970353477765,2017-2019,0.11930283084775638,0.0062638967067444665,0.10977219773947086,,0.05677127848428882,0.019818045770958952,0.024772828114657593,45
0.030204732547499176,728,0.20752565564424175,2017-2019,0.12999770057401897,0.005792087046915209,0.12275151740787543,,0.04555157050595719,0.018330495450242554,0.023032368748756284,90
0.06011655880132055,241,0.06870011402508552,2020,0.2392426974074639,0.006457713196904177,0.24195111729486038,,0.030700441640196786,0.022820829107697598,0.026927251540661844,150
0.12467652379704132,250,0.07126567844925884,2020,0.24212667882268676,0.013459731178921783,0.21643688440510478,,0.06308056810775592,0.04729539237956721,0.10053036273772105,21
0.10719359735453053,250,0.07126567844925884,2020,0.2470402364742471,0.011800711816320641,0.2267908999290621,,0.05397487269747442,0.041616907455674146,0.07035764429964027,45
0.0886249468997489,234,0.06670467502850627,2020,0.24869553134721065,0.008122733783960293,0.23655180843630713,,0.04116538013732296,0.031064373791242317,0.054462772241180304,90
0.03621958818869248,746,0.21265678449258837,2021-2023,0.19360974456749871,0.004548404373528492,0.18877464601011762,,0.024182759976184912,0.013386823609837875,0.017159665399098637,150
0.05312477482549177,758,0.2160775370581528,2021-2023,0.17069369065882972,0.008357202507921643,0.1611699780297776,,0.05185660857987476,0.026712042586364927,0.03503604386214387,21
0.0473692927151175,758,0.2160775370581528,2021-2023,0.17776181733489316,0.006929955087686512,0.17141225473248153,,0.04032257867509502,0.02055705429513861,0.02690181994760538,45
0.04094334659280426,738,0.2103762827822121,2021-2023,0.18625146009023563,0.005562537639997228,0.1794862914484303,,0.02976022056252442,0.015550575345164352,0.019782756691223972,90
