atm_iv_standard_deviation,count,coverage,market_regime,mean_atm_iv,median_absolute_atm_iv_change,median_atm_iv,median_atm_iv_spread,median_relative_instability,p90_absolute_atm_iv_change,p95_absolute_atm_iv_change,target_tenor
0.03302877075136481,129,0.03677309007981756,extreme,0.30199383553313175,0.013798181134023119,0.2934321131977705,,0.04549379185671902,0.04182975450998148,0.047798770098632135,150
0.09899270238154358,173,0.049315849486887116,extreme,0.343827043479165,0.024126979820085007,0.3080805642454122,,0.07487495302108912,0.0995210729553547,0.1396014229579397,21
0.0832026598115139,181,0.0515963511972634,extreme,0.32802321797648193,0.02149268321343717,0.2963436282881834,,0.06823036533020174,0.07044232609016803,0.09285033269316995,45
0.06559634904614611,159,0.04532497149372862,extreme,0.3175252817434197,0.01580803284782084,0.2926838177941156,,0.05397361654538531,0.049352350279469714,0.0681049537217875,90
0.01861922686886886,615,0.17531356898517675,high,0.2334120265616305,0.006288705132082101,0.23167557499278446,,0.02758377915252442,0.017199469215581083,0.02135853858822521,150
0.018269590422472507,359,0.10233751425313568,high,0.23235519329221885,0.014883705703760478,0.23125016287088174,,0.0629928734777295,0.04199533008451187,0.05490143844252495,21
0.018140386289889374,433,0.12343215507411631,high,0.23183674422811948,0.010702451783195843,0.22971946302174784,,0.045872351884977965,0.02897162416422173,0.039082492159330406,45
0.018569034645223696,518,0.1476624857468643,high,0.2327295312430392,0.0078007625881362785,0.22954524849371555,,0.03363028745750681,0.02181240899507301,0.028798339561805008,90
0.012365839030938783,1078,0.3072976054732041,low,0.13248895019306198,0.0031913490707726477,0.13513370631215577,,0.023952729049816934,0.011971414772555613,0.017092243813986767,150
0.02183835144381807,1980,0.56442417331813,low,0.11192379001016238,0.005787474492873396,0.11228380408686316,,0.0533719042407491,0.018445151536576058,0.023699364739123468,21
0.01923915639647682,1837,0.5236602052451539,low,0.11901000998634761,0.005032769690998473,0.12034046915137504,,0.04262438389030871,0.01514103153652514,0.019280488332025263,45
0.015140469966496827,1523,0.43415051311288483,low,0.12691287579373312,0.00378876395650881,0.12796367886943433,,0.029640976460242562,0.012081658372668015,0.01603229165256675,90
0.015041205331062322,1110,0.3164196123147092,medium,0.17466874646503688,0.004453418360517658,0.17335238820884452,,0.025791697664375078,0.013552990940034643,0.0184354098286462,150
0.015230610927231845,730,0.2080957810718358,medium,0.17431207924477946,0.010559023787556632,0.17333976687558733,,0.06036430917715927,0.03156078010423441,0.040858247545674936,21
0.014976313311027622,875,0.24942987457240592,medium,0.1734267924595765,0.008532943710200358,0.1724291287304449,,0.048549441594979086,0.023833353044612364,0.028553549452778472,45
0.01495900812992628,1135,0.3235461801596351,medium,0.17299740038812583,0.00605393160954068,0.17110797230261007,,0.0344125966373848,0.018017365214938907,0.02135099931354653,90
