coefficient,confidence_interval_high,confidence_interval_low,model,observation_count,p_value,r_squared,standard_error,t_statistic,term
-0.0029847728609964275,-0.0004975301415872202,-0.005472015580405635,vendor_iv_cross_underlying_one_way_cluster,13448,0.018671716701245653,0.5893346387655827,0.0012690247060804488,-2.352021080988482,C(quote_date)[T.Timestamp('2020-01-06 00:00:00')]
0.010328152248959234,0.033419726223082945,-0.01276342172516448,vendor_iv_cross_underlying_one_way_cluster,13448,0.3806866991595337,0.5893346387655827,0.011781631783169029,0.8766317297162348,C(quote_date)[T.Timestamp('2020-01-07 00:00:00')]
0.0038457089773516295,0.013467729168268432,-0.005776311213565172,vendor_iv_cross_underlying_one_way_cluster,13448,0.4334190725589001,0.5893346387655827,0.004909284184206481,0.7833543207222656,C(quote_date)[T.Timestamp('2020-01-08 00:00:00')]
-0.001288713506663635,0.006459104056771671,-0.009036531070098941,vendor_iv_cross_underlying_one_way_cluster,13448,0.7444201039533629,0.5893346387655827,0.003953040782661877,-0.3260056188430842,C(quote_date)[T.Timestamp('2020-01-09 00:00:00')]
-0.001578400739242478,0.005032783867282688,-0.008189585345767645,vendor_iv_cross_underlying_one_way_cluster,13448,0.6398306478223407,0.5893346387655827,0.0033731153524622632,-0.467935594936087,C(quote_date)[T.Timestamp('2020-01-10 00:00:00')]
-0.009075010590181318,0.0010706928576538054,-0.019220714038016444,vendor_iv_cross_underlying_one_way_cluster,13448,0.07958042528024994,0.5893346387655827,0.005176474429052339,-1.753125745053219,C(quote_date)[T.Timestamp('2020-01-13 00:00:00')]
0.0037486821331520386,0.017719897725960623,-0.010222533459656544,vendor_iv_cross_underlying_one_way_cluster,13448,0.5989666564053033,0.5893346387655827,0.007128302205046496,0.5258870941944845,C(quote_date)[T.Timestamp('2020-01-14 00:00:00')]
-0.006332486512882649,-0.0007308241912697896,-0.011934148834495508,vendor_iv_cross_underlying_one_way_cluster,13448,0.0267139844064994,0.5893346387655827,0.0028580434976346793,-2.2156718461854843,C(quote_date)[T.Timestamp('2020-01-15 00:00:00')]
0.0016886992397256502,0.007177286128349967,-0.0037998876488986666,vendor_iv_cross_underlying_one_way_cluster,13448,0.5464878666740327,0.5893346387655827,0.0028003508900763434,0.6030313007237507,C(quote_date)[T.Timestamp('2020-01-16 00:00:00')]
0.00598339733515754,0.016985706231383242,-0.005018911561068162,vendor_iv_cross_underlying_one_way_cluster,13448,0.2864736883274698,0.5893346387655827,0.005613526056096189,1.0658892958481376,C(quote_date)[T.Timestamp('2020-01-17 00:00:00')]
0.009693092485000146,0.023631684866930805,-0.004245499896930511,vendor_iv_cross_underlying_one_way_cluster,13448,0.17288678963967963,0.5893346387655827,0.007111657403848487,1.3629864227929076,C(quote_date)[T.Timestamp('2020-01-21 00:00:00')]
0.007766389411370072,0.03053014369957521,-0.014997364876835066,vendor_iv_cross_underlying_one_way_cluster,13448,0.503694686230123,0.5893346387655827,0.01161437376796856,0.6686877455923714,C(quote_date)[T.Timestamp('2020-01-22 00:00:00')]
0.012496078474037076,0.036192183581712764,-0.01120002663363861,vendor_iv_cross_underlying_one_way_cluster,13448,0.3013316958482354,0.5893346387655827,0.012090071702637161,1.0335818332087603,C(quote_date)[T.Timestamp('2020-01-23 00:00:00')]
0.0037523579576724296,0.010578144031944797,-0.0030734281165999376,vendor_iv_cross_underlying_one_way_cluster,13448,0.28127644761044857,0.5893346387655827,0.0034826079091826675,1.0774563360344145,C(quote_date)[T.Timestamp('2020-01-24 00:00:00')]
