atm_iv_standard_deviation,count,coverage,liquidity_quintile,mean_atm_iv,median_absolute_atm_iv_change,median_atm_iv,median_atm_iv_spread,median_relative_instability,p90_absolute_atm_iv_change,p95_absolute_atm_iv_change,target_tenor
,1,0.2,1,0.21380574934609206,,0.21380574934609206,0.004668238479384412,,,,150
,1,0.2,1,0.17134993484528935,0.0013137865327039477,0.17134993484528935,0.0012725157726751202,0.007608932103506691,0.0013137865327039477,0.0013137865327039477,45
,1,0.2,1,0.2039952426802827,,0.2039952426802827,0.004591057087182188,,,,90
,1,0.2,2,0.21528218493816173,0.0014764355920696692,0.21528218493816173,0.00439638291337241,0.006905499953042566,0.0014764355920696692,0.0014764355920696692,150
,1,0.2,2,0.16270320822329204,0.005641365976607443,0.16270320822329204,0.0009485804263756337,0.03351082744079798,0.005641365976607443,0.005641365976607443,45
,1,0.2,2,0.19136409486538225,0.002059909208222105,0.19136409486538225,0.004463825501363955,0.010881477348592329,0.002059909208222105,0.002059909208222105,90
,1,0.2,3,0.20106770695219162,0.00020198115365305247,0.20106770695219162,0.004251538196588106,0.0010035348867179327,0.00020198115365305247,0.00020198115365305247,150
,1,0.2,3,0.16834457419989948,0.003005360645389865,0.16834457419989948,0.0017947286745114699,0.017539315950737794,0.003005360645389865,0.003005360645389865,45
,1,0.2,3,0.19369302157929197,0.010302221100990744,0.19369302157929197,0.006744040010695035,0.050502261550957786,0.010302221100990744,0.010302221100990744,90
,1,0.2,4,0.21109560393509424,0.0041865810030674855,0.21109560393509424,0.003129459616702329,0.019446945896940106,0.0041865810030674855,0.0041865810030674855,150
,1,0.2,4,0.1726637213779933,0.005907175453314345,0.1726637213779933,0.0016611340209660985,0.03308028104319113,0.005907175453314345,0.005907175453314345,45
,1,0.2,4,0.18930418565716015,0.004388835922131823,0.18930418565716015,0.004240773728387576,0.0226587198978419,0.004388835922131823,0.004388835922131823,90
,1,0.2,5,0.20126968810584467,0.009825915829249576,0.20126968810584467,0.004702119572343733,0.046547230951672305,0.009825915829249576,0.009825915829249576,150
,1,0.2,5,0.17857089683130764,,0.17857089683130764,0.0010667262870830418,,,,45
,1,0.2,5,0.18979327038814955,0.0015708244772326962,0.18979327038814955,0.002340594390458306,0.008208564299053669,0.0015708244772326962,0.0015708244772326962,90
