comparison,target_tenor,level_pair_count,median_signed_atm_iv_difference,median_absolute_atm_iv_difference,p95_absolute_atm_iv_difference,atm_iv_level_correlation,change_pair_count,median_signed_absolute_change_difference,median_absolute_change_difference,absolute_change_correlation
ncx_treasury_trailing_dividend_yield_minus_ncx_treasury_projected_dividends,150,2924,-0.0004989378982014903,0.0020846912635655024,0.008629164264744122,0.9966018474031466,2886,-0.00017903313902961626,0.0016941052402262707,0.8253872413551384
ncx_treasury_trailing_dividend_yield_minus_ncx_treasury_projected_dividends,21,3234,0.0004818989051391803,0.003434896046969685,0.015294000540898673,0.9949919676496355,3208,0.0008124299665745599,0.0036475431771636757,0.8988268328638818
ncx_treasury_trailing_dividend_yield_minus_ncx_treasury_projected_dividends,45,3318,-0.000468514978601689,0.004013371282924005,0.010951421399822737,0.9955832570219165,3293,0.0009114980251532095,0.0037767196262942226,0.871394217163083
ncx_treasury_trailing_dividend_yield_minus_ncx_treasury_projected_dividends,90,3332,-2.3819895990859208e-05,0.0006424744928761605,0.008489006638903191,0.9980445298548039,3325,-1.394378692717857e-05,0.0006925582433956745,0.9281349887969275
vendor_iv_replication_minus_ncx_treasury_projected_dividends,150,2924,-0.004633618421115621,0.005349536520516632,0.013570184631004518,0.9923892608863094,2886,-6.136344714174902e-05,0.002158085775162563,0.746451952710164
vendor_iv_replication_minus_ncx_treasury_projected_dividends,21,3234,-0.003474368422760034,0.003770080196571872,0.015797420345622194,0.9960126698151927,3208,-1.4453039953572777e-05,0.002016906725467532,0.9257688829859038
vendor_iv_replication_minus_ncx_treasury_projected_dividends,45,3318,-0.0029544661918331633,0.0038339910682761782,0.012465555335760473,0.9956073468073245,3293,5.125678522442667e-05,0.002257516318850017,0.8740767751642158
vendor_iv_replication_minus_ncx_treasury_projected_dividends,90,3332,-0.0037694629711158903,0.004420700843657227,0.01206205722492387,0.9953184263529408,3325,-7.490332017073831e-05,0.002291546281687623,0.8466019251030399
