sample,specification,target_tenor,observation_count,change_count,median_atm_iv,median_absolute_atm_iv_change,p95_absolute_atm_iv_change,median_absolute_relative_atm_iv_change,median_atm_iv_spread,median_absolute_total_variance_change
specification_sample,ncx_treasury_projected_dividends,150,2924,2886,0.17025496055157652,0.004502248983920834,0.019643025035564254,0.026116393068511146,0.0017825155016270577,0.0006745612484748342
specification_sample,ncx_treasury_projected_dividends,21,3234,3208,0.13872797291482664,0.007646540079911793,0.038336826461859666,0.05441854948050941,0.0016057300071698546,0.0001435035319236937
specification_sample,ncx_treasury_projected_dividends,45,3318,3293,0.1465494292014734,0.0062500717569110575,0.029010921660972036,0.04212567273175798,0.0013068204561472035,0.0002714082267599553
specification_sample,ncx_treasury_projected_dividends,90,3332,3325,0.15838562821075575,0.005027639994741762,0.022813555807347834,0.031043491036996645,0.0012105328502321488,0.00043701704872859196
specification_sample,ncx_treasury_trailing_dividend_yield,150,2924,2886,0.16969313523541119,0.004126906934397434,0.01874777456434562,0.023820029483148895,0.0017595489554269178,0.0005987869148374324
specification_sample,ncx_treasury_trailing_dividend_yield,21,3234,3208,0.1385178335925113,0.008829572930096417,0.04013836115271946,0.06227630724082679,0.0016199943087869678,0.0001686709302884622
specification_sample,ncx_treasury_trailing_dividend_yield,45,3318,3293,0.1472701524957343,0.00768178736203623,0.03164998770851958,0.051339666724943285,0.001324133106125433,0.0003028221523397306
specification_sample,ncx_treasury_trailing_dividend_yield,90,3332,3325,0.15773421034423385,0.005123704289332176,0.022368883943795877,0.03189638180673414,0.001206899356186425,0.00043287890258972023
specification_sample,vendor_iv_replication,150,2932,2895,0.16631444026263315,0.004516319928684176,0.02086590108156837,0.026288895180563345,,0.00065906861473
specification_sample,vendor_iv_replication,21,3242,3216,0.1346946321567739,0.007655772133343085,0.03787187371719822,0.05721241615484312,,0.00014593350233277585
specification_sample,vendor_iv_replication,45,3326,3302,0.1440336395922282,0.006412007517566758,0.029410252226086668,0.04534170733148861,,0.00026601742865495367
specification_sample,vendor_iv_replication,90,3335,3328,0.15523019632517474,0.005219887933150182,0.022797455667046614,0.03269008850354377,,0.0004290183230377606
three_way_paired_changes,ncx_treasury_projected_dividends,150,2886,2886,0.17020041731255708,0.004502248983920834,0.019643025035564254,0.026116393068511146,0.0017770665620122222,0.0006745612484748342
three_way_paired_changes,ncx_treasury_projected_dividends,21,3208,3208,0.13840203825496716,0.007646540079911793,0.038336826461859666,0.05441854948050941,0.0016079769778275799,0.0001435035319236937
three_way_paired_changes,ncx_treasury_projected_dividends,45,3293,3293,0.14627783720051787,0.0062500717569110575,0.029010921660972036,0.04212567273175798,0.0013068495240996514,0.0002714082267599553
three_way_paired_changes,ncx_treasury_projected_dividends,90,3325,3325,0.15838436959806812,0.005027639994741762,0.022813555807347834,0.031043491036996645,0.0012101057030612927,0.00043701704872859196
three_way_paired_changes,ncx_treasury_trailing_dividend_yield,150,2886,2886,0.16968109841060156,0.004126906934397434,0.01874777456434562,0.023820029483148895,0.0017586278984860898,0.0005987869148374324
three_way_paired_changes,ncx_treasury_trailing_dividend_yield,21,3208,3208,0.1380560152577899,0.008829572930096417,0.04013836115271946,0.06227630724082679,0.0016204291332573562,0.0001686709302884622
three_way_paired_changes,ncx_treasury_trailing_dividend_yield,45,3293,3293,0.14693847978026164,0.00768178736203623,0.03164998770851958,0.051339666724943285,0.0013239146953404057,0.0003028221523397306
three_way_paired_changes,ncx_treasury_trailing_dividend_yield,90,3325,3325,0.15772332910023598,0.005123704289332176,0.022368883943795877,0.03189638180673414,0.001206012360139258,0.00043287890258972023
three_way_paired_changes,vendor_iv_replication,150,2886,2886,0.16613317680737932,0.004483945148570742,0.02048000139651336,0.026185239987765833,,0.0006546550789958629
three_way_paired_changes,vendor_iv_replication,21,3208,3208,0.13400274209604246,0.007650311722838574,0.03754378995483663,0.057197737502033046,,0.00014554104070800918
three_way_paired_changes,vendor_iv_replication,45,3293,3293,0.14343318016406287,0.006402845566089804,0.02915306191291397,0.04529168858070683,,0.0002638065274452688
three_way_paired_changes,vendor_iv_replication,90,3325,3325,0.1551626165723835,0.0052147632926349136,0.02274157826598024,0.032648575699983605,,0.000428655046306352
