atm_iv_standard_deviation,count,coverage,market_period,mean_atm_iv,median_absolute_atm_iv_change,median_atm_iv,median_atm_iv_spread,median_relative_instability,p90_absolute_atm_iv_change,p95_absolute_atm_iv_change,target_tenor
0.042028138104762934,558,0.15942857142857142,2010-2012,0.21647161589890482,0.004918159171464209,0.20318894206440444,0.0022471862037568013,0.024239380503068043,0.017191848841187213,0.02319358464501224,150
0.06364153302867417,471,0.13457142857142856,2010-2012,0.1956880145309151,0.00912016217986103,0.17322752180032125,0.001975397958944164,0.050896645559976944,0.033249509271062704,0.04173315470140157,21
0.0558823756414915,593,0.16942857142857143,2010-2012,0.1970402958164068,0.006500918764261038,0.17787631454039232,0.0015194053569104193,0.036916332411494224,0.025088771659727296,0.033850044113700246,45
0.04677566571076819,681,0.19457142857142856,2010-2012,0.20288433101374956,0.0052608578832658015,0.18498186371707376,0.002064763769560024,0.028037230883611364,0.017497343996389525,0.025915516224917542,90
0.02205226198393857,775,0.22142857142857142,2013-2016,0.15560069579115873,0.004077794538337315,0.15044335363811145,0.00169479173780121,0.026555127630730365,0.01316506997377287,0.01681456502584458,150
0.0352177825567117,1005,0.28714285714285714,2013-2016,0.1317441249821635,0.007399537086085345,0.1225506617130551,0.002016592170816678,0.0588595272728123,0.023476969786998005,0.03129422826480852,21
0.02946863488889782,967,0.2762857142857143,2013-2016,0.13716076819024484,0.005957931724714177,0.1295377318051403,0.001849740409438222,0.04488614983346201,0.019098868341874967,0.02338902628266406,45
0.024262807860931077,951,0.27171428571428574,2013-2016,0.1467644326048978,0.004279256055134406,0.14062436207334802,0.0013154420528498634,0.030338411563652072,0.01443032894014587,0.018489032941276726,90
0.023166516964811496,604,0.17257142857142857,2017-2019,0.13939100137859692,0.003954273271967776,0.13556770481300587,0.0011344130405158692,0.02760058837039633,0.01216420999353545,0.016178545987449867,150
0.042795738055860066,750,0.21428571428571427,2017-2019,0.11536920506857161,0.005432947882174646,0.10213932436318862,0.0016067519193809915,0.0514227266659755,0.023365904284450133,0.03394131340471863,21
0.0359618404266584,750,0.21428571428571427,2017-2019,0.12178239134710855,0.005027178446793755,0.11141053456874059,0.0011972633298342333,0.04510558111994899,0.018888520271081777,0.026064169666990357,45
0.02983827616908453,728,0.208,2017-2019,0.13249086864761983,0.004460328441586385,0.12551838018187894,0.000933322305601017,0.03551273674240578,0.014972824022489117,0.020201949486011568,90
0.06122399775043156,241,0.06885714285714285,2020,0.244520296500631,0.006389729696216442,0.2484089762650852,0.0026906219362361483,0.031247106939872635,0.023032897453982144,0.030902810211987444,150
0.1291950823335718,250,0.07142857142857142,2020,0.2485652930046604,0.012605185349735419,0.22227346371079348,0.0019072031989703225,0.06540771023246489,0.054963948166806637,0.08815695282027183,21
0.10882475058380743,250,0.07142857142857142,2020,0.2516797952449512,0.010969891463084441,0.23165414974595908,0.0016096638108906158,0.04984493385701341,0.04219472021559088,0.06314937150178745,45
0.0918375631794061,234,0.06685714285714285,2020,0.2536584491563903,0.007982330326416112,0.24109561584204398,0.0012294824012579753,0.0367252037888009,0.033711073147725236,0.05305372928473814,90
0.037379206281138194,746,0.21314285714285713,2021-2023,0.19416885494254563,0.004809966595195003,0.18814512260852898,0.0022527607917917636,0.0251455288332651,0.013421010897620723,0.017995176378952604,150
0.054247738301479845,758,0.21657142857142858,2021-2023,0.17395558664887056,0.008439080571269304,0.16364301342552312,0.0010446171661021991,0.052771741269897435,0.02654900697770071,0.03691141475193376,21
0.048136367830114726,758,0.21657142857142858,2021-2023,0.1797336324419961,0.006853711424188863,0.17297840191402225,0.0008965509154253287,0.03990834323453768,0.02155024417051349,0.02654599636694577,45
0.0419020023301816,738,0.21085714285714285,2021-2023,0.1869751735051075,0.005622508148554958,0.1806796947526253,0.0008903750691815066,0.029431172734208783,0.016538290760580828,0.02159870211903772,90
