atm_iv_standard_deviation,count,coverage,market_regime,mean_atm_iv,median_absolute_atm_iv_change,median_atm_iv,median_atm_iv_spread,median_relative_instability,p90_absolute_atm_iv_change,p95_absolute_atm_iv_change,target_tenor
0.03337921328156675,133,0.038,extreme,0.3077878614911071,0.014271404716162117,0.29961252908615604,0.004317380832293494,0.045809627612751966,0.03546466097181495,0.04742791632931378,150
0.10268601856495518,178,0.05085714285714286,extreme,0.3503368576531638,0.028016633028522808,0.3132312332730661,0.003217038543032208,0.07676007876989498,0.08889258911615594,0.1312798008657349,21
0.08542601055306293,175,0.05,extreme,0.33576917803659606,0.02173386665604457,0.3030853528179102,0.0027921795721398968,0.06399935685083544,0.06659771073452206,0.09007426095020095,45
0.06894890622591845,155,0.04428571428571428,extreme,0.3257195827193817,0.016013717089384705,0.3001371185864756,0.0034027602527380574,0.05605218049765277,0.04804358318438971,0.058920915626629024,90
0.018277046011202162,614,0.17542857142857143,high,0.23687334699581278,0.006043030731077009,0.23427258778826032,0.0028844800747590965,0.02507359776934457,0.018033932878481776,0.021945051575777134,150
0.018684678274274762,369,0.10542857142857143,high,0.23701832220291377,0.015305174440699412,0.2364535492017137,0.0019746710402366863,0.06343325715701782,0.03919246614015349,0.05140339631724853,21
0.018699047089469092,424,0.12114285714285715,high,0.2371249985461258,0.01030199274308996,0.23602091842769835,0.0017394235464481822,0.042400145715766425,0.0314902029161208,0.04182603584359588,45
0.01870987302928354,514,0.14685714285714285,high,0.23689425393827393,0.007435427408455986,0.2336512110891134,0.0019123073615877756,0.03166074434684437,0.022640326391901847,0.03069224418348544,90
0.012170741937390013,1082,0.30914285714285716,low,0.13634030901266078,0.003195653905604459,0.13823282403418508,0.0012177982032332973,0.023558686506203894,0.009784512055131452,0.012585258633315376,150
0.021989040642413714,1943,0.5551428571428572,low,0.11494732080370987,0.005535830208507619,0.11563788023674075,0.001448743656884105,0.04945133359878745,0.018001690242646733,0.02363177190588061,21
0.01950121103894198,1848,0.528,low,0.12217308390882546,0.004744239574998921,0.12322839563856526,0.001160252304431314,0.038933836648223745,0.01398129234067065,0.01886966850694796,45
0.015360134416093987,1531,0.43742857142857144,low,0.13010723209183617,0.0036629674144812163,0.1309545706998143,0.0008992977409816583,0.027923466450884185,0.011105522421422659,0.013923766809087223,90
0.014882340761166334,1095,0.31285714285714283,medium,0.17849953242078107,0.004944259696315789,0.17699438449796603,0.0020039800057760626,0.028303879830237563,0.013866577884472705,0.017553897390935203,150
0.015156548739375691,744,0.21257142857142858,medium,0.1773334627779925,0.010927510595166515,0.1757703246770811,0.0016323387306084597,0.060427737676608154,0.030814112579767114,0.03923977751507911,21
0.015119797622373558,871,0.24885714285714286,medium,0.17783895449853868,0.008562620856476522,0.17688261532793167,0.0013701810861959929,0.04716733725012766,0.02321155953047077,0.028096182358552494,45
0.015118489215816395,1132,0.32342857142857145,medium,0.17675791358133836,0.0057547068751000185,0.17507336443806748,0.0015290521733677953,0.032984437176936596,0.016809849091028152,0.02142922771165601,90
