atm_iv_standard_deviation,count,coverage,liquidity_quintile,mean_atm_iv,median_absolute_atm_iv_change,median_atm_iv,median_atm_iv_spread,median_relative_instability,p90_absolute_atm_iv_change,p95_absolute_atm_iv_change,target_tenor
0.03983644374193642,585,0.16714285714285715,1,0.1826966629495717,0.0038197532767524356,0.17483716464246207,0.0013484190726410494,0.021352114575701627,0.010215827362295603,0.013372814609926087,150
0.06785010875843661,647,0.18485714285714286,1,0.1924970006065774,0.00909669271337922,0.18021108552017,0.0012632922041799222,0.04933010565759854,0.029696513251163074,0.03775350279351003,21
0.055398796389846364,664,0.18971428571428572,1,0.18712815308228112,0.006353809686559131,0.18281574148492272,0.0008902314716091389,0.03484614483217208,0.019550267597830663,0.02600489296552682,45
0.044184301314708935,667,0.19057142857142856,1,0.1860489625831286,0.005063730460592414,0.1780462939330857,0.0008203188256788452,0.027412559176203038,0.013608034761936182,0.018091416310555906,90
0.04311871267089317,585,0.16714285714285715,2,0.16663567431282164,0.004186911176503272,0.1523813937238335,0.0014137111225378252,0.02617933649285141,0.011936203257291255,0.01526471516868555,150
0.06286393716262526,647,0.18485714285714286,2,0.14878045231044135,0.007688407391239202,0.13146991781459794,0.0014729713514171489,0.057455530403685035,0.02868517750578711,0.039581989097866435,21
0.066758022526384,663,0.18942857142857142,2,0.17002253603756207,0.007228699959873505,0.1497008988403178,0.001373117994752815,0.048404525250548947,0.025308474424541715,0.03410395930321602,45
0.05509715065903946,666,0.19028571428571428,2,0.16393322740451288,0.00504974306696189,0.14655683638264877,0.0009528104077177954,0.034329719237724994,0.01765233255635611,0.02430385304412998,90
0.041823926287871765,584,0.16685714285714287,3,0.16517047589432587,0.004627744405164225,0.15415001527056627,0.0016658918587113963,0.027752562464036498,0.013001051419364624,0.016774937215462974,150
0.06505563273925419,646,0.18457142857142858,3,0.1346152693813805,0.006784617140722142,0.11874565453942104,0.0018926705214624764,0.05690324699176271,0.023605982945006525,0.03595310776522204,21
0.06771618159167007,664,0.18971428571428572,3,0.14632105398805992,0.006464742520764857,0.12613207572909657,0.001735440270720201,0.049945562065127236,0.021829493399104498,0.0296941911055584,45
0.05445920857007516,666,0.19028571428571428,3,0.15704517727420667,0.005003549404802382,0.1424520202497599,0.0011983061542892928,0.034929125742589884,0.016905995758665207,0.02351480740270495,90
0.05067901946868459,585,0.16714285714285715,4,0.1906275731252117,0.004359425251249105,0.18232507539040577,0.0021855823400777352,0.02394443071270018,0.015544123721834571,0.020766578563397406,150
0.08284266767113119,647,0.18485714285714286,4,0.14471083619136133,0.007270951714137233,0.12200431383821002,0.0020106414185914745,0.05805132261392084,0.030258081180397575,0.04383140902603625,21
0.05872606479906519,663,0.18942857142857142,4,0.14811696432113802,0.006031356569572932,0.13383976568403957,0.0016250654070158188,0.04446083542450921,0.022700763514885328,0.0312255603345069,45
0.05635673687196921,666,0.19028571428571428,4,0.17391948067010285,0.005143106867291913,0.1578943143462721,0.0017556717956323104,0.031466880478827536,0.018983366145165242,0.024164223904009022,90
0.057141963768676765,585,0.16714285714285715,5,0.200029260661821,0.006226856381685686,0.1874300563342038,0.002792805611591287,0.033924755620490035,0.021253292232646524,0.028173937992927642,150
0.05404559327741575,647,0.18485714285714286,5,0.1602821871871396,0.007722165529835262,0.14937505494488335,0.0017094141445501698,0.05164507698332471,0.025998702326386732,0.03517332961974053,21
0.05607453741329716,664,0.18971428571428572,5,0.16210456587224947,0.00551472216167212,0.15068675774787468,0.0013861118410414541,0.03681169222304754,0.02001508774612788,0.026052549681718513,45
0.05910612473376282,667,0.19057142857142856,5,0.17666815992082557,0.004762599757830346,0.16486928138519558,0.0017986926425676564,0.029702543583990593,0.016443477663198886,0.023494702303607416,90
