underlying_symbol,quote_date,valuation_timestamp,underlying_price,expiration,vendor_dte,time_to_maturity,strike,option_type,bid,ask,last,volume,open_interest,vendor_iv,vendor_delta,vendor_gamma,vendor_vega,vendor_theta,vendor_rho,source_file,source_row
SPY,2014-04-08,2014-04-08T16:00:00-04:00,185.07,2014-04-17,9.0,0.024657534246575342,125.0,call,60.0,60.18,0.0,,,1.4651,0.91699,0.00013,0.03414,-0.0196,0.00362,spy_options_2014.parquet,1362446
SPY,2014-04-08,2014-04-08T16:00:00-04:00,185.07,2014-04-17,9.0,0.024657534246575342,125.0,put,0.0,0.02,0.0,,,0.76263,-0.00101,0.00014,0.00126,-0.00231,0.0,spy_options_2014.parquet,1362446
SPY,2014-04-08,2014-04-08T16:00:00-04:00,185.07,2014-04-17,9.0,0.024657534246575342,126.0,call,58.99,59.18,0.0,,,1.42957,0.91798,0.00011,0.03381,-0.02039,0.00329,spy_options_2014.parquet,1362447
SPY,2014-04-08,2014-04-08T16:00:00-04:00,185.07,2014-04-17,9.0,0.024657534246575342,126.0,put,0.0,0.01,0.0,,,0.74852,-0.00119,0.00017,0.00055,-0.00237,0.0,spy_options_2014.parquet,1362447
SPY,2014-04-08,2014-04-08T16:00:00-04:00,185.07,2014-04-17,9.0,0.024657534246575342,127.0,call,58.01,58.17,0.0,,,1.3943,0.91883,0.00013,0.0345,-0.02004,0.00311,spy_options_2014.parquet,1362448
SPY,2014-04-08,2014-04-08T16:00:00-04:00,185.07,2014-04-17,9.0,0.024657534246575342,127.0,put,0.0,0.0,0.0,,,0.73333,-0.00119,0.00015,0.00071,-0.00196,-0.00037,spy_options_2014.parquet,1362448
SPY,2014-04-08,2014-04-08T16:00:00-04:00,185.07,2014-04-17,9.0,0.024657534246575342,128.0,call,56.99,57.18,0.0,,,1.36037,0.91944,0.00017,0.03409,-0.02044,0.0033,spy_options_2014.parquet,1362449
SPY,2014-04-08,2014-04-08T16:00:00-04:00,185.07,2014-04-17,9.0,0.024657534246575342,128.0,put,0.0,0.01,0.0,,,0.71922,-0.00114,8e-05,0.00094,-0.00286,-0.0005,spy_options_2014.parquet,1362449
SPY,2014-04-08,2014-04-08T16:00:00-04:00,185.07,2014-04-17,9.0,0.024657534246575342,129.0,call,56.0,56.19,0.0,,,1.32827,0.92047,0.00018,0.03381,-0.02503,0.00321,spy_options_2014.parquet,1362450
SPY,2014-04-08,2014-04-08T16:00:00-04:00,185.07,2014-04-17,9.0,0.024657534246575342,129.0,put,0.0,0.01,0.0,,,0.70557,-0.001,0.00011,0.00106,-0.00231,-0.00041,spy_options_2014.parquet,1362450
