coefficient,confidence_interval_high,confidence_interval_low,model,observation_count,p_value,r_squared,standard_error,t_statistic,term
-0.0020931311131660284,0.0013388930845525024,-0.00552515531088456,quote_uncertainty_next_day_hac,2927,0.23195128258163578,0.16548887485474895,0.0017510649301670338,-1.1953475151640236,C(target_tenor)[T.150]
-0.0023010719849793147,0.0008878975669649992,-0.005490041536923628,quote_uncertainty_next_day_hac,2927,0.15728685272432638,0.16548887485474895,0.0016270551791249732,-1.4142556530976573,C(target_tenor)[T.45]
-0.002215503721435127,0.0007219060650696246,-0.005152913507939879,quote_uncertainty_next_day_hac,2927,0.13933345319474044,0.16548887485474895,0.001498706001576899,-1.4782777403333491,C(target_tenor)[T.90]
0.01109245079557046,0.013769613500722106,0.008415288090418815,quote_uncertainty_next_day_hac,2927,4.629764921710572e-16,0.16548887485474895,0.0013659244385451795,8.120837787619367,Intercept
0.5443878610879803,0.8617233193857872,0.22705240279017352,quote_uncertainty_next_day_hac,2927,0.0007729292995744773,0.16548887485474895,0.16190882118289338,3.3623113126926905,absolute_underlying_return
0.574631499999566,0.9053275977512756,0.24393540224785637,quote_uncertainty_next_day_hac,2927,0.0006599074902099934,0.16548887485474895,0.16872559922539304,3.405716160663571,atm_iv_spread
0.004859681520841879,0.01456730328849338,-0.004847940246809622,quote_uncertainty_next_day_hac,2927,0.32651026112083215,0.16548887485474895,0.004952959260590493,0.9811672709503586,past_realized_volatility
-0.015975047102236264,0.005745486102803107,-0.037695580307275635,spy_contemporaneous_hac,2931,0.14943868973405935,0.38640361937117407,0.01108210833278987,-1.4415169589137753,C(target_tenor)[T.150]
-0.007588107022417386,0.0005967787331972729,-0.015772992778032045,spy_contemporaneous_hac,2931,0.06920815181604743,0.38640361937117407,0.004176038855905513,-1.8170585294451278,C(target_tenor)[T.45]
-0.012765490446615532,0.0031077697896030095,-0.02863875068283407,spy_contemporaneous_hac,2931,0.11497291538819379,0.38640361937117407,0.008098750977785712,-1.5762295299152116,C(target_tenor)[T.90]
-0.01284478412226388,0.020857969249542564,-0.04654753749407032,spy_contemporaneous_hac,2931,0.4550750683281164,0.38640361937117407,0.017195598305708402,-0.7469809362783155,Intercept
1.0732350339018284,1.3668678468728659,0.7796022209307909,spy_contemporaneous_hac,2931,7.851911718999117e-13,0.38640361937117407,0.14981541257246345,7.163715771784968,absolute_underlying_return
0.4190773941704728,0.6624306532293242,0.1757241351116214,spy_contemporaneous_hac,2931,0.000737503022621213,0.38640361937117407,0.12416210755829743,3.3752438840787615,atm_iv_spread
0.002011734021673776,0.00485576008500063,-0.0008322920416530791,spy_contemporaneous_hac,2931,0.1656281772054159,0.38640361937117407,0.0014510603693538096,1.3863889223090333,high_vol_regime
0.007292776134681578,0.018282501669250308,-0.00369694939988715,spy_contemporaneous_hac,2931,0.19338476391567117,0.38640361937117407,0.0056071058556454514,1.3006310782128232,log_dte
-0.012966225814772137,-0.0027895440279690122,-0.02314290760157526,spy_contemporaneous_hac,2931,0.01251739678340448,0.38640361937117407,0.005192279994466986,-2.4972123669349973,past_realized_volatility
