atm_iv_standard_deviation,count,coverage,market_regime,mean_atm_iv,median_absolute_atm_iv_change,median_atm_iv,median_atm_iv_spread,median_relative_instability,p90_absolute_atm_iv_change,p95_absolute_atm_iv_change,target_tenor
0.04574046123085249,22,0.029023746701846966,extreme,0.35234249590695493,0.024386380594006163,0.34060590143856434,0.012335514419358568,0.06890760068107232,0.10664582870822456,0.10793216175317366,150
0.14438457305232014,45,0.059366754617414245,extreme,0.466637158526465,0.051289287125316385,0.4039871663895957,0.006497230685460265,0.10610733010778382,0.15055371210842775,0.22483077345064348,21
0.11239782791739279,47,0.06200527704485488,extreme,0.42446432256055955,0.030002156483862508,0.3783838633333723,0.004030781534454353,0.07926833421293464,0.12868110913781222,0.14819312999930212,45
0.08533326158313682,35,0.04617414248021108,extreme,0.4121746684857088,0.03116723630321072,0.40706634356935223,0.004383898882075521,0.07738771908234547,0.09935605544954136,0.11041536929429763,90
0.015547260886215336,127,0.16754617414248021,high,0.27428440849990815,0.01363924244063569,0.2706407218243704,0.005013052401619478,0.05050184458662675,0.0454900125816894,0.06069205471639461,150
0.01622396949348427,111,0.14643799472295516,high,0.27841320728443525,0.015801893570619785,0.27640433263525305,0.0019159919594969321,0.054823258301860106,0.045370540047382335,0.0629642824312753,21
0.014733062185843679,106,0.13984168865435356,high,0.27317275400563507,0.012706382417956102,0.27120796337635095,0.0014805672870120135,0.0457871334148363,0.037404433958697164,0.04725059461715536,45
0.014080928618527985,102,0.1345646437994723,high,0.27430004524716806,0.01335170051337023,0.2719577961443822,0.001762545869851806,0.049567835482245644,0.046566677343976966,0.05181677843546537,90
0.02261064032071424,313,0.4129287598944591,low,0.17119584924671,0.01529192765641918,0.1754265751758259,0.0019080169357000853,0.08997050507520568,0.038916358997795386,0.04634480547029546,150
0.03287942245940544,437,0.5765171503957783,low,0.15137120708047772,0.011177738725714391,0.1537017012582728,0.0012607034466846911,0.06843547403007263,0.028144357133018383,0.03719104761559701,21
0.028522396974025623,404,0.5329815303430079,low,0.15898177463421598,0.011480423908235782,0.15795135703637786,0.0012087462300422597,0.07359455709089584,0.026987823606971634,0.03507895026488207,45
0.025025540529016593,333,0.4393139841688654,low,0.16557931618472524,0.012278365333883226,0.16653884774614858,0.001052443691713506,0.07623488338570097,0.03047820783721465,0.03928733657377834,90
0.013575593987255658,279,0.36807387862796836,medium,0.22906061908863679,0.011174907829602773,0.22910124191026965,0.002783499055759947,0.04814712436542624,0.036872316246525934,0.04250645463333648,150
0.01440213706668491,165,0.21767810026385223,medium,0.23130198165190674,0.01255525102586394,0.23151939643507505,0.0017091063957947739,0.05308883863992097,0.04177661030496842,0.05365005219840112,21
0.014568375462559223,195,0.25725593667546176,medium,0.22940066283718827,0.011393828827271524,0.22891074043386445,0.0013772368592363804,0.04945495751617266,0.032705948490711685,0.054883118157855564,45
0.014186368377395859,252,0.3324538258575198,medium,0.22882135339608048,0.010945496326769291,0.2281111048747087,0.001436628759996339,0.047524474897435776,0.030510993546439626,0.040213577230247356,90
