fixed_expiry_change_observations,fixed_expiry_median_absolute_change,nearest_tenor_change_observations,nearest_tenor_median_absolute_change,target_tenor
5479,0.004484083307105424,2895,0.004516319928684176,150
12921,0.008227639001748666,3216,0.007655772133343085,21
6889,0.006339819940646363,3302,0.006412007517566758,45
4506,0.005047410358890725,3328,0.005219887933150182,90
